# x_m,y_m,w_tr_right_m,w_tr_left_m
2.1168,-2.5915,0.1250,0.1250
2.1068,-2.5815,0.1250,0.1250
2.0968,-2.5715,0.1250,0.1250
2.0968,-2.5615,0.1250,0.1250
2.0868,-2.5515,0.1250,0.1250
2.0768,-2.5415,0.1250,0.1250
2.0668,-2.5315,0.1250,0.1250
2.0568,-2.5215,0.1250,0.1250
2.0468,-2.5115,0.1250,0.1250
2.0368,-2.5015,0.1250,0.1250
2.0268,-2.4915,0.1250,0.1250
2.0168,-2.4815,0.1250,0.1250
2.0068,-2.4815,0.1250,0.1250
1.9968,-2.4715,0.1250,0.1250
1.9868,-2.4715,0.1250,0.1250
1.9768,-2.4615,0.1250,0.1250
1.9668,-2.4515,0.1250,0.1250
1.9568,-2.4515,0.1250,0.1250
1.9468,-2.4415,0.1250,0.1250
1.9368,-2.4415,0.1250,0.1250
1.9268,-2.4315,0.1250,0.1250
1.9168,-2.4315,0.1250,0.1250
1.9068,-2.4215,0.1250,0.1250
1.8968,-2.4215,0.1250,0.1250
1.8868,-2.4115,0.1250,0.1250
1.8768,-2.4015,0.1250,0.1250
1.8668,-2.4015,0.1250,0.1250
1.8568,-2.3915,0.1250,0.1250
1.8468,-2.3915,0.1250,0.1250
1.8368,-2.3815,0.1250,0.1250
1.8268,-2.3815,0.1250,0.1250
1.8168,-2.3815,0.1250,0.1250
1.8068,-2.3715,0.1250,0.1250
1.7968,-2.3715,0.1250,0.1250
1.7868,-2.3615,0.1250,0.1250
1.7768,-2.3615,0.1250,0.1250
1.7668,-2.3515,0.1250,0.1250
1.7568,-2.3515,0.1250,0.1250
1.7468,-2.3415,0.1250,0.1250
1.7368,-2.3415,0.1250,0.1250
1.7268,-2.3415,0.1250,0.1250
1.7168,-2.3315,0.1250,0.1250
1.7068,-2.3315,0.1250,0.1250
1.6968,-2.3215,0.1250,0.1250
1.6868,-2.3215,0.1250,0.1250
1.6768,-2.3115,0.1250,0.1250
1.6668,-2.3115,0.1250,0.1250
1.6568,-2.3015,0.1250,0.1250
1.6468,-2.3015,0.1250,0.1250
1.6368,-2.2915,0.1250,0.1250
1.6268,-2.2915,0.1250,0.1250
1.6168,-2.2915,0.1250,0.1250
1.6068,-2.2815,0.1250,0.1250
1.5968,-2.2815,0.1250,0.1250
1.5868,-2.2715,0.1250,0.1250
1.5768,-2.2715,0.1250,0.1250
1.5668,-2.2615,0.1250,0.1250
1.5568,-2.2615,0.1250,0.1250
1.5468,-2.2615,0.1250,0.1250
1.5368,-2.2515,0.1250,0.1250
1.5268,-2.2515,0.1250,0.1250
1.5168,-2.2415,0.1250,0.1250
1.5068,-2.2415,0.1250,0.1250
1.4968,-2.2415,0.1250,0.1250
1.4868,-2.2315,0.1250,0.1250
1.4768,-2.2315,0.1250,0.1250
1.4668,-2.2315,0.1250,0.1250
1.4568,-2.2215,0.1250,0.1250
1.4468,-2.2215,0.1250,0.1250
1.4368,-2.2115,0.1250,0.1250
1.4268,-2.2115,0.1250,0.1250
