x_m,y_m,w_tr_right_m,w_tr_left_m
2.3868,-3.9515,0.3100,0.3100
2.3968,-3.9515,0.3100,0.3100
2.4068,-3.9515,0.3098,0.3098
2.4168,-3.9515,0.3079,0.3079
2.4268,-3.9515,0.3059,0.3059
2.4368,-3.9515,0.3039,0.3039
2.4468,-3.9515,0.3020,0.3020
2.4568,-3.9515,0.3000,0.3000
2.4668,-3.9515,0.3000,0.3000
2.4768,-3.9515,0.3000,0.3000
2.4868,-3.9515,0.3000,0.3000
2.4968,-3.9515,0.3000,0.3000
2.5068,-3.9515,0.3000,0.3000
2.5168,-3.9515,0.3000,0.3000
2.5268,-3.9515,0.3000,0.3000
2.5368,-3.9515,0.3000,0.3000
2.5468,-3.9515,0.3000,0.3000
2.5568,-3.9415,0.3100,0.3100
2.5668,-3.9415,0.3100,0.3100
2.5768,-3.9415,0.3100,0.3100
2.5868,-3.9415,0.3100,0.3100
2.5968,-3.9415,0.3100,0.3100
2.6068,-3.9315,0.3200,0.3200
2.6168,-3.9315,0.3200,0.3200
2.6268,-3.9315,0.3200,0.3200
2.6368,-3.9315,0.3200,0.3200
2.6468,-3.9315,0.3200,0.3200
2.6568,-3.9215,0.3300,0.3300
2.6668,-3.9215,0.3300,0.3300
2.6768,-3.9115,0.3400,0.3400
2.6868,-3.9115,0.3400,0.3400
2.6968,-3.9115,0.3400,0.3400
2.7068,-3.9115,0.3400,0.3400
2.7168,-3.9015,0.3500,0.3500
2.7268,-3.8915,0.3600,0.3600
2.7368,-3.8915,0.3600,0.3600
2.7468,-3.8815,0.3700,0.3700
2.7568,-3.8715,0.3800,0.3800
2.7668,-3.8715,0.3800,0.3800
2.7768,-3.8615,0.3900,0.3900
2.7868,-3.8515,0.4000,0.4000
2.7968,-3.8415,0.4100,0.4100
2.8068,-3.8315,0.4197,0.4197
2.8168,-3.8215,0.4277,0.4277
2.8168,-3.8115,0.4377,0.4377
2.8268,-3.8015,0.4458,0.4458
2.8268,-3.7915,0.4558,0.4558
2.8368,-3.7815,0.4616,0.4616
2.8368,-3.7715,0.4555,0.4555
2.8468,-3.7615,0.4575,0.4575
2.8468,-3.7515,0.4514,0.4514
2.8568,-3.7415,0.4534,0.4534
2.8568,-3.7315,0.4494,0.4494
2.8568,-3.7215,0.4454,0.4454
2.8668,-3.7115,0.4494,0.4494
2.8668,-3.7015,0.4474,0.4474
2.8768,-3.6915,0.4534,0.4534
2.8768,-3.6815,0.4494,0.4494
2.8768,-3.6715,0.4474,0.4474
2.8868,-3.6615,0.4554,0.4554
2.8868,-3.6515,0.4535,0.4535
2.8868,-3.6415,0.4515,0.4515
2.8968,-3.6315,0.4595,0.4595
2.8968,-3.6215,0.4576,0.4576
2.8968,-3.6115,0.4556,0.4556
