s,x,y,heading,curvature,track_width, acc
23.591885905509084,5.230169526979375,-0.13884778683664276,0.007987745774552912,0.058627812266995705,7.101821057235441,0.0
23.695361345200244,5.333638632920346,-0.13769996114553917,0.01427045725759237,0.06281910156781463,7.032809141064395,0.0
23.798952671290422,5.437213920585276,-0.13587708803994836,0.020998697169720054,0.06709300993130916,6.965445747027512,0.0
23.902612504374368,5.540842481753301,-0.13333239331831584,0.028178449377220024,0.07144408167155429,6.900045243937607,0.0
24.006287220370144,5.644464190227343,-0.13001971805775706,0.03581406328749723,0.0758666263484458,6.836918180651638,0.0
24.109916287181147,5.7480109906966765,-0.12589406577770712,0.04390804306069953,0.08035469510741629,6.77635642887111,0.0
24.21343151155945,5.851406115558855,-0.12091223703635041,0.05246081055409715,0.08490205218856944,6.718616559417532,0.0
24.31675797024765,5.9545650061618405,-0.11503345273980681,0.061470598233368576,0.08950222065842432,6.663901512302807,0.0
24.419824176632574,6.057405469599787,-0.10821932398357977,0.07093423826230363,0.0941489512175543,6.61234005645494,0.0
24.52256951078723,6.159855091814828,-0.10043348369681317,0.08084796963557803,0.09883659763059627,6.563961895067516,0.0
24.62494589123726,6.261852889886743,-0.09164125562622302,0.09120786841546727,0.10356024350956018,6.518679663915806,0.0
24.726919707963997,6.363351209851643,-0.08180911210407145,0.10201036508888979,0.10831584001778538,6.476284814984344,0.0
24.82847428699327,6.464318126608582,-0.07090385522104412,0.11325288709524661,0.11310036823036643,6.43646176273791,0.0
24.929612647089712,6.564740090546194,-0.058891492570113016,0.12493461515172427,0.11791201670865646,6.398820382518488,0.0
25.030360258198076,6.664624513184525,-0.04573580329053728,0.1370573272051019,0.1227503617402837,6.362936850138872,0.0
25.130767481872997,6.764001954750065,-0.031396620113957684,0.1496262896749679,0.12761653565893238,6.328389956154872,0.0
25.23091135779587,6.862927562375061,-0.01582788750892617,0.1626511421579445,0.1325133673180025,6.294785686792268,0.0
25.330896388740655,6.961481400155652,0.0010244051302187931,0.1761467083380271,0.13744547766976617,6.261769946578929,0.0
25.430853978698092,7.059767321647622,0.01922427498805348,0.19013365388608572,0.14241931287526272,6.229032802072654,0.0
25.530940191380676,7.157910058117935,0.03884759814157651,0.2046389013372005,0.1474430971546387,6.196308019078482,0.0
25.631331530139228,7.256050243589926,0.05998353519714504,0.21969570389402487,0.15252668811719253,6.1633708086448955,0.0
